Total avoided impacts consider 2025 as baseline year,,,,,,,,,,,,
,,,,,,,,,,,,
GEM Unique ID,Unique plant name,Unit name,Location,Total avoided CO2 emissions (Mt),Total avoided deaths,Total avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
L100000104627,Çoban Yıldız power station,--,Turkiye,4.69,224,"12,252",$109.8,$2.1,10,28,$12.3,55%
L100000103684,Polat power station,Unit 1,Turkiye,6.46,273,"14,730",$162.7,$3.1,18,42,$16.0,52%
L100000103717,Aksa Akrilik power station,--,Turkiye,12.68,"4,244","220,369",$340.4,$6.5,43,92,$29.6,49%
L100000103641,İÇDAŞ Bekirli power station,Unit 2,Turkiye,77.12,506,"23,727","$1,988.0",$37.8,236,529,$170.1,49%
L100000103725,ZETES power stations,Phase 2 Unit 2,Turkiye,63.24,"1,760","85,433","$2,148.3",$40.8,285,585,$100.8,34%
L100000103725,ZETES power stations,Phase 3 Unit 1,Turkiye,93.57,"2,508","120,870","$2,445.2",$46.5,324,666,$114.7,34%
L100000103725,ZETES power stations,Phase 3 Unit 2,Turkiye,93.57,"2,508","120,870","$2,445.2",$46.5,324,666,$114.7,34%
L100000103640,İÇDAŞ Biga power station,Unit 1,Turkiye,11.45,189,"9,593",$444.3,$8.4,52,118,$42.3,51%
L100000103640,İÇDAŞ Biga power station,Unit 2,Turkiye,14.51,239,"12,151",$444.3,$8.4,52,118,$42.3,51%
L100000103710,Şırnak Silopi (CİNER) power station,Unit 3,Turkiye,18.60,"1,626","82,812",$401.3,$7.6,35,101,$44.8,55%
L100000104454,Kardemir Karabük Demir Çelik power station,--,Turkiye,7.45,598,"32,648",$270.7,$5.1,36,74,$14.1,37%
L100000103640,İÇDAŞ Biga power station,Unit 3,Turkiye,14.51,239,"12,151",$444.3,$8.4,52,118,$42.3,51%
L100000103634,Çan (18 Mart) power station,Unit 1,Turkiye,11.76,172,"8,667",$528.3,$10.0,62,140,$50.0,51%
