GEM Unique ID,Unique plant name,Unit name,Location,Planned Retirement Year,Annual avoided CO2 emissions (Mt),Annual avoided deaths,Annual avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
G100000106691,Mariveles Power Plant,Unit 2,Philippines,0,1.914662149,57.01505215,2802.474544,1032.1,19.6,108,266,93.5,0.5
G100000110220,Cebu Energy power station,Unit 3,Philippines,0,0.474375961,54.34797342,2987.88181,279.8,5.3,35,75,25.3,0.5
G100000107173,Naga power station,Unit 2-2,Philippines,0,0.649386641,349.3504894,18402.27044,366.1,7,43,96,30.4,0.48
G100000107752,Panay power station,Unit 2,Philippines,0,0.481897779,157.6606188,8448.424136,269.1,5.1,31,71,22.8,0.48
G100000110218,Cebu Energy power station,Unit 1,Philippines,0,0.474375961,54.34797342,2987.88181,279.8,5.3,35,75,25.3,0.5
G100000110219,Cebu Energy power station,Unit 2,Philippines,0,0.474375961,54.34797342,2987.88181,279.8,5.3,35,75,25.3,0.5
G100000107172,Naga power station,Unit 2-1,Philippines,0,0.649386641,349.3504894,18402.27044,366.1,7,43,96,30.4,0.48
G100000107751,Panay power station,Unit 1,Philippines,0,0.481897779,157.6606188,8448.424136,269.1,5.1,31,71,22.8,0.48
G100000106931,Mindanao Steag power station,Unit 1,Philippines,2027,0.671068433,155.4810406,8496.850813,383,7.3,45,101,24.6,0.42
G100000106932,Mindanao Steag power station,Unit 2,Philippines,2027,0.671068433,155.4810406,8496.850813,383,7.3,45,101,24.6,0.42
G100000100399,Atimonan power station,Unit 1,Philippines,0,3.05332522,84.83686756,4059.709781,2354,44.7,315,637,136.8,0.39
G100000100400,Atimonan power station,Unit 2,Philippines,0,3.05332522,84.83686756,4059.709781,2354,44.7,315,637,136.8,0.39
G100000106716,Masinloc power station,Unit 4,Philippines,0,1.840704948,26.55336581,1371.410941,1121,21.3,121,290,71.6,0.41
G100000114046,SMC Mariveles power station,Phase I Unit 1,Philippines,0,0.859043108,38.3990229,1987.705001,476.2,9,50,123,42.1,0.49
G100000114516,SMC Mariveles power station,Phase I Unit 2,Philippines,0,0.859043108,38.3990229,1987.705001,476.2,9,50,123,42.1,0.49
G100001006649,Therma Visayas Energy Project,Unit 3,Philippines,0,0.967855236,78.61126453,4038.043584,575.3,10.9,72,153,44.2,0.46
G100001031014,Toledo City power station,Unit 5,Philippines,0,0.462805816,54.09983355,2977.247267,273.7,5.2,34,73,24.6,0.5
G100000111523,Zamboanga power station,--,Philippines,0,0.705216261,69.69677469,3652.906571,413.8,7.9,53,111,31.7,0.46
G100000114926,Misamis Oriental power station,Unit 4,Philippines,0,0.793368294,210.6380958,10958.92378,444.2,8.4,51,117,37.4,0.48
G100000114927,Misamis Oriental power station,Unit 5,Philippines,0,0.793368294,210.6380958,10958.92378,444.2,8.4,51,117,37.4,0.48
G100000100514,Bangkok HSFC Plant power station,Unit 2R,Thailand,0,0.173618666,1236.817639,70056.85868,100.8,1.9,10,27,11,0.55
G100000103014,Gheco One power station,Unit 1,Thailand,0,2.893644436,102.2936941,4992.453148,1818.4,34.6,171,478,138.2,0.46
G100000410154,Glow Energy power complex,unit 1,Thailand,0,0.409932962,42.97453352,2354.925937,234.2,4.5,22,62,18.9,0.47
G100000410153,Glow Energy power complex,unit 2,Thailand,0,1.070648441,58.88900623,3063.119972,611.7,11.6,57,161,49.4,0.47
G100000103058,Glow Energy power complex,unit CFB 3,Thailand,0,1.070648441,58.88900623,3063.119972,611.7,11.6,57,161,49.4,0.47
G100000114525,IRPC power station,--,Thailand,0,1.480581403,45.34946743,2309.921037,849.3,16.1,81,224,68.1,0.47
G100000106655,Map Ta Phut BLCP power station,Unit 1,Thailand,2032,3.457905101,91.18063524,4404.241233,1970.8,37.4,183,518,160,0.47
G100000106656,Map Ta Phut BLCP power station,Unit 2,Thailand,2032,3.457905101,91.18063524,4404.241233,1970.8,37.4,183,518,160,0.47
G100000110037,Tha Tum power station,Unit 1,Thailand,0,0.803470644,41.31812716,2147.948005,451.9,8.6,42,119,45.2,0.53
G100000110038,Tha Tum power station,Unit 2,Thailand,0,0.803470644,41.31812716,2147.948005,451.9,8.6,42,119,45.2,0.53
G100000111500,Yunus Emre power station,Unit 1,Turkiye,0,0.820049184,4.783643845,242.0304737,457,8.7,48,119,47.1,0.53
G100000109494,Soma Kolin power station,Unit 1,Turkiye,0,1.405383034,46.01586212,2249.731547,810.5,15.4,87,211,80.2,0.52
G100000113111,Soma Kolin power station,Unit 2,Turkiye,0,1.405383034,46.01586212,2249.731547,810.5,15.4,87,211,80.2,0.52
G100000101183,Çan-2 power station,--,Turkiye,0,1.818730985,21.10672403,1016.629528,1089.1,20.7,128,289,100.5,0.51
G100000101259,Cenal power station,Unit 1,Turkiye,0,2.903162629,14.53528632,709.2567394,2175.3,41.3,255,577,102.2,0.34
G100000101260,Cenal power station,Unit 2,Turkiye,0,2.903162629,14.53528632,709.2567394,2175.3,41.3,255,577,102.2,0.34
G100000110352,Tufanbeyli power station,Unit 1,Turkiye,0,0.826695902,4.651722937,235.2313843,449.3,8.5,40,114,49.5,0.55
G100000110353,Tufanbeyli power station,Unit 2,Turkiye,0,0.826695902,4.651722937,235.2313843,449.3,8.5,40,114,49.5,0.55
G100000110354,Tufanbeyli power station,Unit 3,Turkiye,0,0.826695902,4.651722937,235.2313843,449.3,8.5,40,114,49.5,0.55
G100000111552,ZETES power stations,Phase 1 Unit 1,Turkiye,0,0.904881858,44.20545917,2323.515888,558.9,10.6,74,152,29,0.37
G100000111553,ZETES power stations,Phase 2 Unit 1,Turkiye,0,3.16194513,87.98335423,4271.632218,2148.3,40.8,285,585,100.8,0.34
G100000101003,Bolu Göynük power station,Unit 1,Turkiye,0,0.763494068,3.74385989,190.3118708,441.3,8.4,51,117,42.5,0.52
G100000101004,Bolu Göynük power station,Unit 2,Turkiye,0,0.763494068,3.74385989,190.3118708,441.3,8.4,51,117,42.5,0.52
G100000109467,Şırnak Silopi (CİNER) power station,Unit 1,Turkiye,0,0.744026312,65.0539985,3312.498401,401.3,7.6,35,101,44.8,0.55
G100000109468,Şırnak Silopi (CİNER) power station,Unit 2,Turkiye,0,0.744026312,65.0539985,3312.498401,401.3,7.6,35,101,44.8,0.55
G100000104820,İÇDAŞ Bekirli power station,Unit 1,Turkiye,0,3.084824517,20.22131052,949.0985685,1988,37.8,236,529,170.1,0.49
G100000114712,Eti Maden Bandirma power station,--,Turkiye,0,0.257377991,25.62438359,1389.52599,154,2.9,18,41,14.2,0.51
G100000113786,İzdemir Enerji power station,Unit 1,Turkiye,0,1.902308452,35.44454357,1776.041886,1115.3,21.2,102,283,75.2,0.43
G100000100401,Atlas Enerji İskenderun power station,Unit 1,Turkiye,0,3.084824517,189.2228635,9200.11265,1927.4,36.6,212,505,112.2,0.39
G100000114501,Atlas Enerji İskenderun power station,Unit 2,Turkiye,0,3.084824517,189.2228635,9200.11265,1927.4,36.6,212,505,112.2,0.39
G100000114371,Çoban Yıldız power station,--,Turkiye,0,0.203918323,9.718698257,532.6846458,109.8,2.1,10,28,12.3,0.55
G100000108070,Polat power station,Unit 1,Turkiye,0,0.281076607,11.86249071,640.4395717,162.7,3.1,18,42,16,0.52
G100000100097,Aksa Akrilik power station,--,Turkiye,0,0.551130601,184.5417132,9581.259804,340.4,6.5,43,92,29.6,0.49
G100000104821,İÇDAŞ Bekirli power station,Unit 2,Turkiye,0,3.084824517,20.22131052,949.0985685,1988,37.8,236,529,170.1,0.49
G100000111554,ZETES power stations,Phase 2 Unit 2,Turkiye,0,3.16194513,87.98335423,4271.632218,2148.3,40.8,285,585,100.8,0.34
G100000111555,ZETES power stations,Phase 3 Unit 1,Turkiye,0,3.598961937,96.45971204,4648.830141,2445.2,46.5,324,666,114.7,0.34
G100000111556,ZETES power stations,Phase 3 Unit 2,Turkiye,0,3.598961937,96.45971204,4648.830141,2445.2,46.5,324,666,114.7,0.34
G100000104822,İÇDAŞ Biga power station,Unit 1,Turkiye,0,0.763494068,12.58127898,639.5449642,444.3,8.4,52,118,42.3,0.51
G100000104823,İÇDAŞ Biga power station,Unit 2,Turkiye,0,0.763494068,12.58127898,639.5449642,444.3,8.4,52,118,42.3,0.51
G100000109469,Şırnak Silopi (CİNER) power station,Unit 3,Turkiye,0,0.744026312,65.0539985,3312.498401,401.3,7.6,35,101,44.8,0.55
G100000105557,Kardemir Karabük Demir Çelik power station,--,Turkiye,0,0.43830215,35.14922123,1920.447618,270.7,5.1,36,74,14.1,0.37
G100000104824,İÇDAŞ Biga power station,Unit 3,Turkiye,0,0.763494068,12.58127898,639.5449642,444.3,8.4,52,118,42.3,0.51
G100000101181,Çan (18 Mart) power station,Unit 1,Turkiye,0,0.904881858,13.26199241,666.6885006,528.3,10,62,140,50,0.51
G100000101182,Çan (18 Mart) power station,Unit 2,Turkiye,0,0.904881858,13.26199241,666.6885006,528.3,10,62,140,50,0.51
G100000104915,İsken Sugözü power station,Unit 1,Turkiye,0,3.421584527,85.25952104,4120.692564,1832.8,34.8,171,466,132.8,0.44
G100000104916,İsken Sugözü power station,Unit 2,Turkiye,0,3.421584527,85.25952104,4120.692564,1832.8,34.8,171,466,132.8,0.44
G100000105541,Kangal power station,Unit 3,Turkiye,0,0.887915324,2.463411079,123.9903186,474.7,9,44,121,52.6,0.55
G100000101244,Çayırhan power station,Unit 3,Turkiye,0,0.904881858,14.03107375,705.3506921,504.1,9.6,53,131,52,0.53
G100000101245,Çayırhan power station,Unit 4,Turkiye,0,0.904881858,14.03107375,705.3506921,504.1,9.6,53,131,52,0.53
G100000105655,Kemerköy power station,Unit 3,Turkiye,0,1.187657439,3.582541213,176.9783239,629,12,57,159,70.9,0.55
G100000115365,Afşin-Elbistan power stations,Unit a5,Turkiye,0,1.945495996,34.9368721,1676.606978,1019.3,19.4,88,256,117,0.56
G100000115366,Afşin-Elbistan power stations,Unit A6,Turkiye,0,1.945495996,34.9368721,1676.606978,1019.3,19.4,88,256,117,0.56
G100000103946,Hongsa power station,Unit 1,Laos,0,3.946410038,13.4050201,650.8775971,2324.3,44.2,220,620,225.7,0.52
G100000103947,Hongsa power station,Unit 2,Laos,0,3.946410038,13.4050201,650.8775971,2324.3,44.2,220,620,225.7,0.52
G100000103948,Hongsa power station,Unit 3,Laos,0,3.946410038,13.4050201,650.8775971,2324.3,44.2,220,620,225.7,0.52
G100000114889,Sekong power station (EPIC),--,Laos,0,4.903242859,8.649116919,414.8877008,3609.5,68.6,311,950,292.9,0.47
G100000114493,TSBP Sekong power station,Unit 1,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100000114888,TSBP Sekong power station,Unit 2,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100000114490,Phonesack Xekong power station,Unit 1,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100001048314,Phonesack Xekong power station,Unit 2,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100001048315,Phonesack Xekong power station,Unit 3,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100001048316,Phonesack Xekong power station,Unit 4,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100001048317,Phonesack Xekong power station,Unit 5,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100001048318,Phonesack Xekong power station,Unit 6,Laos,0,1.786565014,4.314996101,222.0193243,1082.8,20.6,93,285,58.2,0.37
G100000114517,SMC Mariveles power station,Phase I Unit 3,Philippines,0,0.859043108,38.3990229,1987.705001,476.2,9,50,123,42.1,0.49
G100000114518,SMC Mariveles power station,Phase I Unit 4,Philippines,0,0.801382115,37.22200127,1935.327538,476.2,9,50,123,39.7,0.48
G100000115298,SMC Mariveles power station,Phase II Unit 5,Philippines,0,1.60276423,53.58044445,2663.278259,952.4,18.1,101,245,79.5,0.48
G100000115299,SMC Mariveles power station,Phase II Unit 6,Philippines,0,1.60276423,53.58044445,2663.278259,952.4,18.1,101,245,79.5,0.48
